,Views,Likes,Dislikes,Comments,Category ID,Year,Month,Day,Tag count
count,173.0,172.0,0.0,173.0,173.0,173.0,173.0,173.0,173.0
mean,976319.5375722543,43183.476744186046,,3782.3121387283236,18.15606936416185,2024.0,11.0,24.161849710982658,15.815028901734104
std,866631.1957616534,59514.54105077881,,7554.065691518072,6.481093311069402,0.0,0.0,1.8575243090407312,11.947092894628414
min,52051.0,1106.0,,3.0,1.0,2024.0,11.0,16.0,0.0
25%,348908.0,11204.0,,1018.0,17.0,2024.0,11.0,23.0,4.0
50%,684687.0,26235.5,,2001.0,20.0,2024.0,11.0,24.0,16.0
75%,1418863.0,52417.0,,3855.0,23.0,2024.0,11.0,26.0,26.0
max,3987300.0,561875.0,,69127.0,28.0,2024.0,11.0,27.0,44.0
